0, NVIDIA GeForce RTX 5090, GPU-264a26c6-ccda-369f-7e1a-d156f3d7b96f, 32607 MiB, 30934 MiB
1, NVIDIA GeForce RTX 5090, GPU-3597bc83-9def-aa3d-3018-58ba8b7c1314, 32607 MiB, 29974 MiB
2, NVIDIA GeForce RTX 5090, GPU-16167b06-839a-8ed9-321e-5fe1c4a7900e, 32607 MiB, 2 MiB
3, NVIDIA GeForce RTX 5090, GPU-5256836c-696e-d402-15a9-c63bb7ad5e0f, 32607 MiB, 29482 MiB
4, NVIDIA GeForce RTX 5090, GPU-614a38d1-3c6c-704e-ee7e-13dd062e6b3f, 32607 MiB, 24082 MiB
5, NVIDIA GeForce RTX 5090, GPU-d0e80b4e-5e77-ff1d-7f26-10564b23fad4, 32607 MiB, 24786 MiB
6, NVIDIA GeForce RTX 5090, GPU-128a786d-8b71-a658-daaa-29d12b8f39ba, 32607 MiB, 22688 MiB
7, NVIDIA GeForce RTX 5090, GPU-5ed70684-1f0e-b9ce-36a4-0035e53974b8, 32607 MiB, 2 MiB
